country,mean_flfp,ISO3
Afghanistan,16.615,AFG
Albania,46.71,ALB
Algeria,15.6683333333333,DZA
Angola,75.9366666666667,AGO
Argentina,47.9633333333333,ARG
Armenia,49.1266666666667,ARM
Australia,58.91,AUS
Austria,54.2316666666667,AUT
Azerbaijan,61.62,AZE
"Bahamas, The",69.6816666666667,BHS
Bahrain,43.4666666666667,BHR
Bangladesh,31.0983333333333,BGD
Barbados,62.155,BRB
Belarus,58.185,BLR
Belgium,47.4683333333333,BEL
Belize,47.155,BLZ
Benin,68.3816666666667,BEN
Bhutan,59.3616666666667,BTN
Bolivia,59.2383333333333,BOL
Bosnia and Herzegovina,35.1333333333333,BIH
Botswana,61.2183333333333,BWA
Brazil,52.9566666666667,BRA
Brunei Darussalam,57.53,BRN
Bulgaria,48.09,BGR
Burkina Faso,58.8433333333333,BFA
Burundi,79.955,BDI
Cabo Verde,49.1416666666667,CPV
Cambodia,77.9133333333333,KHM
Cameroon,70.875,CMR
Canada,61.4966666666667,CAN
Central African Republic,64.9566666666667,CAF
Chad,63.8466666666667,TCD
Chile,49.0583333333333,CHL
China,63.305,CHN
Colombia,57.4116666666667,COL
Comoros,33.1566666666667,COM
"Congo, Dem. Rep.",61.8066666666667,COD
"Congo, Rep.",67.7416666666667,COG
Costa Rica,48.1166666666667,CRI
Cote d'Ivoire,44.9116666666667,CIV
Croatia,45.365,HRV
Cuba,42.005,CUB
Cyprus,57.0983333333333,CYP
Czech Republic,50.3516666666667,CZE
Denmark,57.7983333333333,DNK
Djibouti,50.005,DJI
Dominican Republic,45.9266666666667,DOM
Ecuador,49.8833333333333,ECU
"Egypt, Arab Rep.",22.7033333333333,EGY
El Salvador,46.195,SLV
Equatorial Guinea,54.3333333333333,GNQ
Eritrea,71.86,ERI
Estonia,55.31,EST
Eswatini,46.2933333333333,SWZ
Ethiopia,73.5033333333333,ETH
Fiji,42.6416666666667,FJI
Finland,55.7283333333333,FIN
France,50.8416666666667,FRA
French Polynesia,48.875,PYF
Gabon,41.2933333333333,GAB
"Gambia, The",50.235,GMB
Georgia,57.49,GEO
Germany,53.8083333333333,DEU
Ghana,65.2433333333334,GHA
Greece,44.2516666666667,GRC
Guam,53.8316666666667,GUM
Guatemala,41.245,GTM
Guinea,62.535,GIN
Guinea-Bissau,65.405,GNB
Guyana,39.7683333333333,GUY
Haiti,61.7683333333333,HTI
Honduras,44.67,HND
"Hong Kong SAR, China",53.195,HKG
Hungary,45.165,HUN
Iceland,71.4033333333333,ISL
India,23.3116666666667,IND
Indonesia,51.0116666666667,IDN
"Iran, Islamic Rep.",14.5416666666667,IRN
Iraq,12.705,IRQ
Ireland,55.3583333333333,IRL
Israel,57.9916666666667,ISR
Italy,39.0533333333333,ITA
Jamaica,56.3933333333333,JAM
Japan,48.9516666666667,JPN
Jordan,14.5133333333333,JOR
Kazakhstan,65.4283333333333,KAZ
Kenya,68.7566666666667,KEN
"Korea, Dem. People's Rep.",74.0283333333333,PRK
"Korea, Rep.",50.5716666666667,KOR
Kuwait,48.1083333333333,KWT
Kyrgyz Republic,50.9783333333333,KGZ
Lao PDR,76.7283333333333,LAO
Latvia,53.6666666666667,LVA
Lebanon,22.6,LBN
Lesotho,59.8716666666667,LSO
Liberia,70.1266666666667,LBR
Libya,33.915,LBY
Lithuania,53.53,LTU
Luxembourg,50.9783333333333,LUX
"Macao SAR, China",66.0666666666667,MAC
Madagascar,85.7333333333333,MDG
Malawi,72.88,MWI
Malaysia,47.4966666666667,MYS
Maldives,43.6366666666667,MDV
Mali,60.4883333333333,MLI
Malta,38.6533333333333,MLT
Mauritania,27.9366666666667,MRT
Mauritius,43.7216666666667,MUS
Mexico,43.805,MEX
Moldova,38.97,MDA
Mongolia,53.71,MNG
Montenegro,43.52,MNE
Morocco,24.5516666666667,MAR
Mozambique,80.395,MOZ
Myanmar,52.84,MMR
Namibia,55.2466666666667,NAM
Nepal,79.835,NPL
Netherlands,58.2166666666667,NLD
New Caledonia,59.8883333333333,NCL
New Zealand,61.9583333333333,NZL
Nicaragua,48.3,NIC
Niger,64.82,NER
Nigeria,51.9783333333333,NGA
North Macedonia,43.51,MKD
Norway,61.5433333333333,NOR
Oman,28.5233333333333,OMN
Pakistan,22.5766666666667,PAK
Panama,48.365,PAN
Papua New Guinea,47.0333333333333,PNG
Paraguay,56.7083333333333,PRY
Peru,70.5083333333333,PER
Philippines,49.0133333333333,PHL
Poland,48.605,POL
Portugal,54.4466666666667,PRT
Puerto Rico,34.055,PRI
Qatar,55.1283333333333,QAT
Romania,46.01,ROU
Russian Federation,55.8316666666667,RUS
Rwanda,83.97,RWA
Samoa,31.6266666666667,WSM
Sao Tome and Principe,41.6466666666667,STP
Saudi Arabia,20.2966666666667,SAU
Senegal,34.5,SEN
Serbia,43.5766666666667,SRB
Sierra Leone,58.0716666666667,SLE
Singapore,60.13,SGP
Slovak Republic,50.9633333333333,SVK
Slovenia,52.3033333333333,SVN
Solomon Islands,82.3666666666667,SLB
Somalia,21.0233333333333,SOM
South Africa,46.4833333333333,ZAF
South Sudan,70.6466666666667,SSD
Spain,52.5016666666667,ESP
Sri Lanka,34.53,LKA
St. Lucia,63.3383333333333,LCA
St. Vincent and the Grenadines,55.5916666666667,VCT
Sudan,28.2783333333333,SDN
Suriname,39.6,SUR
Sweden,59.9033333333333,SWE
Switzerland,61.195,CHE
Syrian Arab Republic,13.6683333333333,SYR
Tajikistan,30.645,TJK
Tanzania,81.7266666666667,TZA
Thailand,63.3033333333333,THA
Timor-Leste,61.54,TLS
Togo,55.605,TGO
Tonga,40.025,TON
Trinidad and Tobago,51.475,TTO
Tunisia,25.0666666666667,TUN
Turkey,29.3316666666667,TUR
Turkmenistan,45.52,TKM
Uganda,66.4166666666667,UGA
Ukraine,47.8883333333333,UKR
United Arab Emirates,47.3016666666667,ARE
United Kingdom,56.0683333333333,GBR
United States,56.5766666666667,USA
Uruguay,55.6333333333333,URY
Uzbekistan,50.3883333333333,UZB
Vanuatu,60.65,VUT
"Venezuela, RB",49.465,VEN
Vietnam,72.395,VNM
Virgin Islands (U.S.),57.895,VIR
West Bank and Gaza,15.655,PSE
"Yemen, Rep.",7.60666666666667,YEM
Zambia,70.4116666666667,ZMB
Zimbabwe,77.59,ZWE
