rank,artist,title,last_week
1,BTS,Butter,1 Last Week
2,Olivia Rodrigo,Good 4 U,1
3,Doja Cat Featuring SZA,Kiss Me More,2 Last Week
4,Dua Lipa Featuring DaBaby,Levitating,2
5,Ed Sheeran,Bad Habits,4 Last Week
6,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,4
7,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,3 Last Week
8,Lil Nas X,Montero (Call Me By Your Name),3
9,The Weeknd & Ariana Grande,Save Your Tears,- Last Week
10,Olivia Rodrigo,Deja Vu,-
11,Doja Cat & The Weeknd,You Right,6 Last Week
12,Masked Wolf,Astronaut In The Ocean,6
13,Polo G,Rapstar,5 Last Week
14,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",WUSYANAME,5
15,The Kid LAROI,Without You,8 Last Week
16,Megan Thee Stallion,Thot Shit,8
17,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes,7 Last Week
18,The Weeknd,Blinding Lights,7
19,Luke Combs,Forever After All,9 Last Week
20,Giveon,Heartbreak Anniversary,9
21,Chris Young + Kane Brown,Famous Friends,- Last Week
22,Saweetie Featuring Doja Cat,Best Friend,-
23,Nelly & Florida Georgia Line,Lil Bit,10 Last Week
24,Doja Cat,Ain't Shit,10
25,Glass Animals,Heat Waves,11 Last Week
26,Drake Featuring Lil Baby,Wants And Needs,11
27,Bad Bunny,Yonaguni,- Last Week
28,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get,-
29,Olivia Rodrigo,Drivers License,14 Last Week
30,Kali Uchis,Telepatia,14
31,Marshmello X Jonas Brothers,Leave Before You Love Me,17 Last Week
32,Rauw Alejandro,Todo de Ti,17
33,Roddy Ricch,Late At Night,13 Last Week
34,Walker Hayes,Fancy Like,13
35,Jason Aldean,Blame It On You,15 Last Week
36,Ariana Grande,pov,15
37,24kGoldn Featuring iann dior,Mood,12 Last Week
38,Dierks Bentley,Gone,12
39,Olivia Rodrigo,Traitor,16 Last Week
40,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",Juggernaut,16
41,Nio Garcia X J Balvin X Bad Bunny,AM,21 Last Week
42,"Tyler, The Creator Featuring 42 Dugg",Lemonhead,21
43,Machine Gun Kelly X blackbear,My Ex's Best Friend,18 Last Week
44,Moneybagg Yo,Wockesha,18
45,"Tyler, The Creator",Lumberjack,24 Last Week
46,Lil Tjay Featuring 6LACK,Calling My Phone,24
47,Jordan Davis,Almost Maybes,- Last Week
48,"Tyler, The Creator Featuring Lil Wayne",Hot Wind Blows,-
49,Doja Cat,Need To Know,19 Last Week
50,Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.,19
51,DaBaby,Red Light Green Light,20 Last Week
52,Miranda Lambert,Settling Down,20
53,Cole Swindell,Single Saturday Night,22 Last Week
54,Dan + Shay,Glad You Exist,22
55,"Tyler, The Creator",Corso,30 Last Week
56,DaBaby,Ball If I Want To,30
57,Doja Cat Featuring Ariana Grande,I Don't Do Drugs,23 Last Week
58,Olivia Rodrigo,Happier,23
59,"Tyler, The Creator Featuring DJ Drama",Sir Baudelaire,25 Last Week
60,"Tyler, The Creator Featuring Brent Faiyaz & Fana Hues",Sweet / I Thought You Wanted To Dance,25
61,Migos,Straightenin,37 Last Week
62,Olivia Rodrigo,Favorite Crime,37
63,Young Thug & Gunna,Ski,36 Last Week
64,AJR,Way Less Sad,36
65,"J. Cole, 21 Savage & Morray",my.life,32 Last Week
66,"Tyler, The Creator",Massa,32
67,Bella Poarch,Build A Bitch,51 Last Week
68,"Tyler, The Creator Featuring Teezo Touchdown",RunItUp,51
69,Duncan Laurence,Arcade,34 Last Week
70,Lainey Wilson,Things A Man Oughta Know,34
71,Mooski,Track Star,27 Last Week
72,"Lil Baby, Lil Durk & Travis Scott",Hats Off,27
73,Olivia Rodrigo,Brutal,29 Last Week
74,Keith Urban Duet With P!nk,One Too Many,29
75,Regard x Troye Sivan x Tate McRae,You,26 Last Week
76,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home),26
77,Ryan Hurd With Maren Morris,Chasing After You,28 Last Week
78,Maneskin,Beggin',28
79,Sam Hunt,Breaking Up Was Easy In The 90's,- Last Week
80,Blake Shelton,Minimum Wage,-
81,"Los Legendarios, Wisin & Jhay Cortez",Fiel,- Last Week
82,Migos Featuring Drake,Having Our Way,-
83,Jake Owen,Made For You,- Last Week
84,"Tyler, The Creator Featuring Domo Genesis",Manifesto,-
85,Willow Featuring Travis Barker,transparentsoul,33 Last Week
86,Thomas Rhett,Country Again,33
87,Justin Moore,We Didn't Have Much,35 Last Week
88,Doja Cat,Woman,35
89,Olivia Rodrigo,"Jealousy, Jealousy",93 Last Week
90,Imagine Dragons,Follow You,93
91,H.E.R. Featuring Chris Brown,Come Through,31 Last Week
92,42 Dugg & Roddy Ricch,4 Da Gang,31
93,Doja Cat,Get Into It (Yuh),43 Last Week
94,Luke Bryan,Waves,43
95,"Tyler, The Creator",Wilshire,- Last Week
96,City Girls,Twerkulator,-
97,Rod Wave,Tombstone,66 Last Week
98,Trippie Redd & Playboi Carti,Miss The Rage,66
99,"Tyler, The Creator Featuring Daisy World",Rise!,64 Last Week
100,Tate McRae X Khalid,Working,64
1,BTS,Butter,- Last Week
2,Olivia Rodrigo,Good 4 U,-
3,Doja Cat Featuring SZA,Kiss Me More,41 Last Week
4,Dua Lipa Featuring DaBaby,Levitating,41
5,Ed Sheeran,Bad Habits,50 Last Week
6,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,50
7,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,48 Last Week
8,Lil Nas X,Montero (Call Me By Your Name),48
9,The Weeknd & Ariana Grande,Save Your Tears,- Last Week
10,Olivia Rodrigo,Deja Vu,-
11,Doja Cat & The Weeknd,You Right,39 Last Week
12,Masked Wolf,Astronaut In The Ocean,39
13,Polo G,Rapstar,- Last Week
14,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",WUSYANAME,-
15,The Kid LAROI,Without You,42 Last Week
16,Megan Thee Stallion,Thot Shit,42
17,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes,- Last Week
18,The Weeknd,Blinding Lights,-
19,Luke Combs,Forever After All,- Last Week
20,Giveon,Heartbreak Anniversary,-
21,Chris Young + Kane Brown,Famous Friends,45 Last Week
22,Saweetie Featuring Doja Cat,Best Friend,45
23,Nelly & Florida Georgia Line,Lil Bit,47 Last Week
24,Doja Cat,Ain't Shit,47
25,Glass Animals,Heat Waves,56 Last Week
26,Drake Featuring Lil Baby,Wants And Needs,56
27,Bad Bunny,Yonaguni,59 Last Week
28,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get,59
29,Olivia Rodrigo,Drivers License,52 Last Week
30,Kali Uchis,Telepatia,52
31,Marshmello X Jonas Brothers,Leave Before You Love Me,- Last Week
32,Rauw Alejandro,Todo de Ti,-
33,Roddy Ricch,Late At Night,57 Last Week
34,Walker Hayes,Fancy Like,57
35,Jason Aldean,Blame It On You,- Last Week
36,Ariana Grande,pov,-
37,24kGoldn Featuring iann dior,Mood,61 Last Week
38,Dierks Bentley,Gone,61
39,Olivia Rodrigo,Traitor,58 Last Week
40,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",Juggernaut,58
41,Nio Garcia X J Balvin X Bad Bunny,AM,53 Last Week
42,"Tyler, The Creator Featuring 42 Dugg",Lemonhead,53
43,Machine Gun Kelly X blackbear,My Ex's Best Friend,55 Last Week
44,Moneybagg Yo,Wockesha,55
45,"Tyler, The Creator",Lumberjack,54 Last Week
46,Lil Tjay Featuring 6LACK,Calling My Phone,54
47,Jordan Davis,Almost Maybes,63 Last Week
48,"Tyler, The Creator Featuring Lil Wayne",Hot Wind Blows,63
49,Doja Cat,Need To Know,71 Last Week
50,Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.,71
51,DaBaby,Red Light Green Light,73 Last Week
52,Miranda Lambert,Settling Down,73
53,Cole Swindell,Single Saturday Night,78 Last Week
54,Dan + Shay,Glad You Exist,78
55,"Tyler, The Creator",Corso,- Last Week
56,DaBaby,Ball If I Want To,-
57,Doja Cat Featuring Ariana Grande,I Don't Do Drugs,60 Last Week
58,Olivia Rodrigo,Happier,60
59,"Tyler, The Creator Featuring DJ Drama",Sir Baudelaire,67 Last Week
60,"Tyler, The Creator Featuring Brent Faiyaz & Fana Hues",Sweet / I Thought You Wanted To Dance,67
61,Migos,Straightenin,62 Last Week
62,Olivia Rodrigo,Favorite Crime,62
63,Young Thug & Gunna,Ski,49 Last Week
64,AJR,Way Less Sad,49
65,"J. Cole, 21 Savage & Morray",my.life,65 Last Week
66,"Tyler, The Creator",Massa,65
67,Bella Poarch,Build A Bitch,- Last Week
68,"Tyler, The Creator Featuring Teezo Touchdown",RunItUp,-
69,Duncan Laurence,Arcade,76 Last Week
70,Lainey Wilson,Things A Man Oughta Know,76
71,Mooski,Track Star,75 Last Week
72,"Lil Baby, Lil Durk & Travis Scott",Hats Off,75
73,Olivia Rodrigo,Brutal,85 Last Week
74,Keith Urban Duet With P!nk,One Too Many,85
75,Regard x Troye Sivan x Tate McRae,You,- Last Week
76,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home),-
77,Ryan Hurd With Maren Morris,Chasing After You,68 Last Week
78,Maneskin,Beggin',68
79,Sam Hunt,Breaking Up Was Easy In The 90's,81 Last Week
80,Blake Shelton,Minimum Wage,81
81,"Los Legendarios, Wisin & Jhay Cortez",Fiel,70 Last Week
82,Migos Featuring Drake,Having Our Way,70
83,Jake Owen,Made For You,89 Last Week
84,"Tyler, The Creator Featuring Domo Genesis",Manifesto,89
85,Willow Featuring Travis Barker,transparentsoul,- Last Week
86,Thomas Rhett,Country Again,-
87,Justin Moore,We Didn't Have Much,90 Last Week
88,Doja Cat,Woman,90
89,Olivia Rodrigo,"Jealousy, Jealousy",- Last Week
90,Imagine Dragons,Follow You,-
91,H.E.R. Featuring Chris Brown,Come Through,96 Last Week
92,42 Dugg & Roddy Ricch,4 Da Gang,96
93,Doja Cat,Get Into It (Yuh),83 Last Week
94,Luke Bryan,Waves,83
95,"Tyler, The Creator",Wilshire,82 Last Week
96,City Girls,Twerkulator,82
97,Rod Wave,Tombstone,- Last Week
98,Trippie Redd & Playboi Carti,Miss The Rage,-
99,"Tyler, The Creator Featuring Daisy World",Rise!,94 Last Week
100,Tate McRae X Khalid,Working,94
